tweet_text,label,type_of_disaster,hashtags,clean_text
user watch amound time jump swear lool,0,not disaster,,user watch amound time jump swear lool
even tornado couldnt lift ur big as ily nadia nikole sit car eat froyo wa cont deck ly hndw,0,not disaster,,even tornado couldnt lift ur big as ily nadia nikole sit car eat froyo wa cont deck ly hndw
cbccalgary stop try find negative yycflood suppoive amp now u seem focus bad please stop,1,flood,['yycflood'],cbccalgary stop try find negative yycflood suppoive amp now u seem focus bad please stop
eahquake m km w ferndale california t co t oscs w,1,earthquake,,eahquake m km w ferndale california t co t oscs w
rickygervais ha racka racka bad thing alcohol broken home empty hea wallet empty glass,0,not disaster,,rickygervais ha racka racka bad thing alcohol broken home empty hea wallet empty glass
biobio actualizada fotos principales terremoto t co n h mzr,1,earthquake,,biobio actualizada fotos principales terremoto t co n h mzr
salute resilience sister amp brother nepal amp pa india courage fac,1,earthquake,,salute resilience sister amp brother nepal amp pa india courage fac
monstrous cyclone tore tiny south pacific archipelago vanuatu pack wind number mile pe repeat,1,hurricane,,monstrous cyclone tore tiny south pacific archipelago vanuatu pack wind number mile pe repeat
user great work flood affected queensland region mate well do hard work serviceman volunteer,1,flood,,user great work flood affected queensland region mate well do hard work serviceman volunteer
dream horrible flood lil techie trap car wtf,0,not disaster,['wtf'],dream horrible flood lil techie trap car wtf
want feel financially secure go save invest user,0,not disaster,,want feel financially secure go save invest user
assesment team ground stoney nakoda nation tomorrow inspect house impact abflood,1,flood,,assesment team ground stoney nakoda nation tomorrow inspect house impact abflood
lay bed think much love yet hate boy m spend thursday,0,not disaster,,lay bed think much love yet hate boy m spend thursday
anger iran eahquake flattens ahmadinejad housing project,1,earthquake,,anger iran eahquake flattens ahmadinejad housing project
user pls reliefph manila need help philredcross help hospital evacuee due flood,1,flood,,user pls reliefph manila need help philredcross help hospital evacuee due flood
standstill traffic jam people abandon car t see anything due creep smoke rag wildfire get full san francisco experience right now,1,wildfire,,standstill traffic jam people abandon car t see anything due creep smoke rag wildfire get full san francisco experience right now
top story number number m nw iquique chile number number number number utc t co remnbq number see,1,earthquake,,top story number number m nw iquique chile number number number number utc t co remnbq number see
say hint irony merrydian,0,not disaster,,say hint irony merrydian
old lady show class spud capitulate,0,not disaster,,old lady show class spud capitulate
please advise class lpu manila suspend tom dec number number stay safe dry everyone rubyph walangp,1,hurricane,,please advise class lpu manila suspend tom dec number number stay safe dry everyone rubyph walangp
m fancy girl boutique oklahoma city ok t co rra tmylbm,0,not disaster,,m fancy girl boutique oklahoma city ok t co rra tmylbm
get lot mind,0,not disaster,,get lot mind
number people repo kill flood landslide follow torrential rain nepal noh india,1,flood,,number people repo kill flood landslide follow torrential rain nepal noh india
president trump pleasantly suprised turnout houston hurricane shelter pic twitter yihlozgt,0,not disaster,,president trump pleasantly suprised turnout houston hurricane shelter pic twitter yihlozgt
dya reckon davidpattinson nice picture area see enjoy day thanks yes s awesome place,0,not disaster,,dya reckon davidpattinson nice picture area see enjoy day thanks yes s awesome place
get sick news repoer tell go home shelter oh big tornado come nothing never happen getyashitrite,1,tornado,['getyashitrite'],get sick news repoer tell go home shelter oh big tornado come nothing never happen getyashitrite
listen number h bone chromedome juneyouare amp prometheus p prometheus p np soundcloud,0,not disaster,,listen number h bone chromedome juneyouare amp prometheus p prometheus p np soundcloud
zia chiara fate girare sardegna le istruzioni aprire il wifi t co waa tnnbd alleameteosar emerg,1,flood,"['sardegna', 'allertameteosar', 'emerg']",zia chiara fate girare sardegna le istruzioni aprire il wifi t co waa tnnbd alleameteosar emerg
student learn journalism skill pbs org ir number y highered journalism,0,not disaster,,student learn journalism skill pbs org ir number y highered journalism
please share message step help rebuild yycfloods red cross challenge yychelps,1,flood,,please share message step help rebuild yycfloods red cross challenge yychelps
lol tyurshoesasia byrdtheword fuckyessjess well hopefully tornado come swoop car lol,0,not disaster,,lol tyurshoesasia byrdtheword fuckyessjess well hopefully tornado come swoop car lol
publico e la ropa barata e demasiado cara t co utc z jzaj bangladesh por luismatiaslopez,0,not disaster,['bangladesh'],publico e la ropa barata e demasiado cara t co utc z jzaj bangladesh por luismatiaslopez
user holy shit tornado hit joplin officially classify number w sustain wind number km h smile,1,tornado,,user holy shit tornado hit joplin officially classify number w sustain wind number km h smile
mqm mandate balochistan kkf first responder eahquake victim im proud quaid relie,1,earthquake,,mqm mandate balochistan kkf first responder eahquake victim im proud quaid relie
wkwkw iya repeat kelutalaran virus cinta ane user haha cinte cinta mulu nih si tete user mithamito ehem virus,0,not disaster,,wkwkw iya repeat kelutalaran virus cinta ane user haha cinte cinta mulu nih si tete user mithamito ehem virus
number people feel s okay break facebook,0,not disaster,,number people feel s okay break facebook
add video user playlist universal studio florida number tour overview universal orlando,0,not disaster,,add video user playlist universal studio florida number tour overview universal orlando
caritas manila accept donation typhoon pablo victim peso bank acct metrobank sa number number pnb number number,1,hurricane,,caritas manila accept donation typhoon pablo victim peso bank acct metrobank sa number number pnb number number
number eahquake home hurricane location doesn t seem matter right now,1,hurricane,,number eahquake home hurricane location doesn t seem matter right now
oomf get brace today jesus,0,not disaster,,oomf get brace today jesus
s insane suppo excavation transpoation diy fuel strongly applaud decision,0,not disaster,,s insane suppo excavation transpoation diy fuel strongly applaud decision
don t feel make ff,0,not disaster,,don t feel make ff
typhoon haiyan t co p s ddf qp cfr org,1,typhoon,,typhoon haiyan t co p s ddf qp cfr org
volunteer firefighter provide nourishment volunteer redwoodmeadows abflood t co limaqsgdxd,1,flood,['abflood'],volunteer firefighter provide nourishment volunteer redwoodmeadows abflood t co limaqsgdxd
lddio non che potresti non far succedere pi niente sai ho una cea paura io qui da sola terremoto,1,earthquake,['terremoto'],lddio non che potresti non far succedere pi niente sai ho una cea paura io qui da sola terremoto
galileomovement reduce risk fire rid australia green climateinstitut,0,not disaster,['greens'],galileomovement reduce risk fire rid australia green climateinstitut
storm hasn t even hit hard yet sandy,1,hurricane,,storm hasn t even hit hard yet sandy
cabo user first live repo national tv la paz looting service repeat,1,hurricane,,cabo user first live repo national tv la paz looting service repeat
number shade white academy award edition,0,not disaster,,number shade white academy award edition
thinking bestie colorado many wildfire late one close house work,1,wildfire,,thinking bestie colorado many wildfire late one close house work
moment school im listen boom boom wid friend jump group sing pa keep walk,0,not disaster,,moment school im listen boom boom wid friend jump group sing pa keep walk
number eahquake antofagasta chile apr number number epicenter number depth number m,1,earthquake,,number eahquake antofagasta chile apr number number epicenter number depth number m
bbc news new york train crash metro noh derailment bronx,1,tornado,,bbc news new york train crash metro noh derailment bronx
brittanymohan anyone know location marina mohan please please contact t contact please yyc yycflood abf,1,flood,"['yyc', 'yycflood', 'abf']",brittanymohan anyone know location marina mohan please please contact t contact please yyc yycflood abf
expand lyon refugee pueo rico wake co spca,1,hurricane,,expand lyon refugee pueo rico wake co spca
camp walma parking lot life give lemon make lemonade hang t co xsvhbruado,0,not disaster,,camp walma parking lot life give lemon make lemonade hang t co xsvhbruado
haitian scramble shelter powerful hurricane matthew reuters aicle storm matthew iduskcn bh feedtype r feedname worldnews utm source dlvr utm medium twitter,0,not disaster,,haitian scramble shelter powerful hurricane matthew reuters aicle storm matthew iduskcn bh feedtype r feedname worldnews utm source dlvr utm medium twitter
eahquake pray u affected area amp pray tht stop thought u keep safe nz eqnz,1,earthquake,['eqnz'],eahquake pray u affected area amp pray tht stop thought u keep safe nz eqnz
emergency mgmt gim shelter keep homeless warm blizzard easy say do dlvr knfp y,1,blizzard,,emergency mgmt gim shelter keep homeless warm blizzard easy say do dlvr knfp y
extreme weather world south east queensland face flood crisis follow storm t co zjy jtww,1,flood,,extreme weather world south east queensland face flood crisis follow storm t co zjy jtww
thanks memory user honour cheer imfc bleublancnoir,0,not disaster,,thanks memory user honour cheer imfc bleublancnoir
feel engulfed low self image take quiz t co yzdmouxqbo t co pexfgawrg,0,not disaster,,feel engulfed low self image take quiz t co yzdmouxqbo t co pexfgawrg
issue rand paul absolutely right,0,not disaster,,issue rand paul absolutely right
joba rule never use joba back back daysor day joba,0,not disaster,,joba rule never use joba back back daysor day joba
manila flight typhoon bopha slam philippine south destroys home dead manila reuters typhoon bop t co oilcfue,1,typhoon,"['manila', 'flights']",manila flight typhoon bopha slam philippine south destroys home dead manila reuters typhoon bop t co oilcfue
texan pay visit shelter hurricane harvey nrg center espn apphttp e pn wmzzxy,1,hurricane,,texan pay visit shelter hurricane harvey nrg center espn apphttp e pn wmzzxy
hope okay icare,0,not disaster,['icare'],hope okay icare
dnt say marquisdonta aint get ta work til pm tomm call uuhhh yea car wit tornado somewhere,1,tornado,,dnt say marquisdonta aint get ta work til pm tomm call uuhhh yea car wit tornado somewhere
marjggonzales amo ngani te yes safe hira storm flood pero survive kaya now na scarcity food water na tsk,0,not disaster,,marjggonzales amo ngani te yes safe hira storm flood pero survive kaya now na scarcity food water na tsk
le miserables birch carroll amp coyle cinema t co e q gb,0,not disaster,,le miserables birch carroll amp coyle cinema t co e q gb
thank friday republican team today republican victory campaign headquaers collect nonperishable food sanitary item baby need hurricane michael relief project facebook clayrepublicans post,1,hurricane,,thank friday republican team today republican victory campaign headquaers collect nonperishable food sanitary item baby need hurricane michael relief project facebook clayrepublicans post
cnn repo sheriff say warrant go jail hurricane shelter cnn el cw twitter cnn status,1,hurricane,,cnn repo sheriff say warrant go jail hurricane shelter cnn el cw twitter cnn status
fuckin vehicle fuck number anticlockwise number number number chesey traffic proper wank now standa,0,not disaster,,fuckin vehicle fuck number anticlockwise number number number chesey traffic proper wank now standa
ray signorello jr vow rebuild lose winery building california fire,1,wildfire,,ray signorello jr vow rebuild lose winery building california fire
infinitegrace scream world much love little pony,0,not disaster,,infinitegrace scream world much love little pony
joke aside repeat please pray oklahoma repeat teacher hug number student prayforoklahoma t co cv,1,tornado,,joke aside repeat please pray oklahoma repeat teacher hug number student prayforoklahoma t co cv
mostsecretfacts inmates muntinlupa jail give meal food donate victim flood manila,0,not disaster,,mostsecretfacts inmates muntinlupa jail give meal food donate victim flood manila
view way home louisiana t co d ilyurfcl,0,not disaster,,view way home louisiana t co d ilyurfcl
like youtube video t co sxg z xh tremor joke tremor dlc fatality x ray,0,not disaster,,like youtube video t co sxg z xh tremor joke tremor dlc fatality x ray
new landmark un repo climate change current level lead world worsen food shoage wildfire mass die coral reef soon https nytimes climate ipcc climate repo html,1,wildfire,,new landmark un repo climate change current level lead world worsen food shoage wildfire mass die coral reef soon  nytimes climate ipcc climate repo html
user prequel d fine haven t see lord ring,0,not disaster,,user prequel d fine haven t see lord ring
evidently albea flood aren t nearly alarm carbon tax climatechange tarsands,1,flood,,evidently albea flood aren t nearly alarm carbon tax climatechange tarsands
large violent tornado now min birmingham pray people take shelter way,0,not disaster,,large violent tornado now min birmingham pray people take shelter way
camp tomorrow fun,0,not disaster,,camp tomorrow fun
thanks everyone donate food suppo colorado flood victim food drive fb wdoahubj,0,not disaster,,thanks everyone donate food suppo colorado flood victim food drive fb wdoahubj
user yeah m re cancel terra nova smile number episode,0,not disaster,,user yeah m re cancel terra nova smile number episode
swan extend flood assistance qld sky news australia t co u vixu sunshinecoast,1,flood,['sunshinecoast'],swan extend flood assistance qld sky news australia t co u vixu sunshinecoast
india rush number military aircraft aid nepal,1,earthquake,,india rush number military aircraft aid nepal
hurricane maria s effect rule forecaster say,1,hurricane,,hurricane maria s effect rule forecaster say
california wildfire malaysian family evacuate wildfire malaysian fam repeat,1,wildfire,,california wildfire malaysian family evacuate wildfire malaysian fam repeat
user gyugyunu user ghoulrunnings number user jaakotodile cute af follow smile,0,not disaster,,user gyugyunu user ghoulrunnings number user jaakotodile cute af follow smile
stockpile food don t don t eat hurricane bad food make want move away hurricanetips,1,hurricane,['hurricanetips'],stockpile food don t don t eat hurricane bad food make want move away hurricanetips
user use nswfires great,1,wildfire,,user use nswfires great
pue ricans risk f waterb rne disease outbreak wake f hurricane maria,1,hurricane,,pue ricans risk f waterb rne disease outbreak wake f hurricane maria
significant amount drone footage local tv station napa eahquake aftermath,1,earthquake,,significant amount drone footage local tv station napa eahquake aftermath
user yes girl ve definitely fair share argument fianc don t need explain,0,not disaster,,user yes girl ve definitely fair share argument fianc don t need explain
cash casino calgary limit hold em poker tournament w re entry t co atdpig sjq,0,not disaster,,cash casino calgary limit hold em poker tournament w re entry t co atdpig sjq
don t know go sixth form college hmmm,0,not disaster,,don t know go sixth form college hmmm
fuck def pick wrong time goto heb forget hurricane brew everyone s rush try food n shit together fuckk,1,hurricane,,fuck def pick wrong time goto heb forget hurricane brew everyone s rush try food n shit together fuckk
s jumper,0,not disaster,,s jumper
tweet claim pastor joel open huge church shelter hurricane victim thinkamericana tweet claim pastor joel open huge church shelter hurricane victim ihatehillaryclinton,0,not disaster,,tweet claim pastor joel open huge church shelter hurricane victim thinkamericana tweet claim pastor joel open huge church shelter hurricane victim ihatehillaryclinton
andrea mitchell hit romney make collection hurricane victim t co qjexqb msnbc host andrea mitchell criticize,0,not disaster,,andrea mitchell hit romney make collection hurricane victim t co qjexqb msnbc host andrea mitchell criticize
hope everyone hurricane sandy s path safe continue abide govt emergency agency check love one,1,hurricane,,hope everyone hurricane sandy s path safe continue abide govt emergency agency check love one
user massive explosion strike quebec town train carry oil derails,1,earthquake,,user massive explosion strike quebec town train carry oil derails
tree come thanks irma,1,hurricane,,tree come thanks irma
houston s harvey foune go oil gas global energy medium,1,hurricane,,houston s harvey foune go oil gas global energy medium
place chaos a make ye create album previous work rest number,0,not disaster,,place chaos a make ye create album previous work rest number
think s cute y make little world character s s lol s sumo wrestler now,0,not disaster,,think s cute y make little world character s s lol s sumo wrestler now
food fema hurricane michael s survivor furious newsgrit thedailybeast food fema hurricane michael survivor furious,1,hurricane,['newsgrit'],food fema hurricane michael s survivor furious newsgrit thedailybeast food fema hurricane michael survivor furious
sister make kool aid white person shit pmtfo,0,not disaster,,sister make kool aid white person shit pmtfo
user break weather service confirm tornado hit moore okla top scale ef number,1,tornado,,user break weather service confirm tornado hit moore okla top scale ef number
christian gent street heaven crowd innocent victim oklahoma tornado now re presence god,1,tornado,,christian gent street heaven crowd innocent victim oklahoma tornado now re presence god
user sea mone wooohhhh cant wait,0,not disaster,,user sea mone wooohhhh cant wait
evacuation order fall flat choose ride hurricane matthew people cnb cx dwgkqf goo gl cnj jf,1,hurricane,,evacuation order fall flat choose ride hurricane matthew people cnb cx dwgkqf goo gl cnj jf
swampndn survivor joplin hea go moore prayer,1,tornado,,swampndn survivor joplin hea go moore prayer
user housegop lack action pueo rico note,1,hurricane,,user housegop lack action pueo rico note
proud taemployees help clean city today yychelps yycflood t co euldublbk,1,flood,"['taemployees', 'yychelps', 'yycflood']",proud taemployees help clean city today yychelps yycflood t co euldublbk
megasxlr saddledome water level row t co zrypnfk pm,1,flood,['yycflood'],megasxlr saddledome water level row t co zrypnfk pm
mansion elan,0,not disaster,,mansion elan
poll flooding albea affect,1,flood,,poll flooding albea affect
user yes jamba juice best friend miss smoothie king tropical smoothie lol don t lol,0,not disaster,,user yes jamba juice best friend miss smoothie king tropical smoothie lol don t lol
news brisbane brace australian flood disaster brisbane australia deadly floodwaters sweep t co plfzndtf,1,flood,,news brisbane brace australian flood disaster brisbane australia deadly floodwaters sweep t co plfzndtf
lead sta talk sexy as sleepy voice suddenly sta rid dick repeat truth,0,not disaster,,lead sta talk sexy as sleepy voice suddenly sta rid dick repeat truth
come dick lmfaooo fuck nice bro im cry repeat cute shit,0,not disaster,,come dick lmfaooo fuck nice bro im cry repeat cute shit
jk barbiieexo yeah probably saw transformer,0,not disaster,,jk barbiieexo yeah probably saw transformer
channel number rebrand,0,not disaster,,channel number rebrand
hurricane sandy blow tree,1,hurricane,,hurricane sandy blow tree
user yup s keep ask people say confirm kavanugh guy bet never heard guy month ago now proponent repeat someone say guy different guy rape allegation,0,not disaster,,user yup s keep ask people say confirm kavanugh guy bet never heard guy month ago now proponent repeat someone say guy different guy rape allegation
go go little hard hurricane pay last night t co n bgwbua,1,hurricane,,go go little hard hurricane pay last night t co n bgwbua
really bad obsession rice krispy treat,0,not disaster,,really bad obsession rice krispy treat
already expect inundate w aicle trad author pay plummet early next year true ll far bad,0,not disaster,,already expect inundate w aicle trad author pay plummet early next year true ll far bad
hurricane dorian celebrity cruise ship bahamas reroutes deliver food aid newsbuzzbreak p d d c,1,hurricane,,hurricane dorian celebrity cruise ship bahamas reroutes deliver food aid newsbuzzbreak p d d c
calila guy want cry oklahoma tornado survivor find lost dog tv interview t co l xtxtr gq,1,tornado,,calila guy want cry oklahoma tornado survivor find lost dog tv interview t co l xtxtr gq
olliebailey havnt crash,0,not disaster,,olliebailey havnt crash
injured full back alba super cup t co jyiegtnc h,0,not disaster,,injured full back alba super cup t co jyiegtnc h
tropical cyclone pam kill least people vanuatu wall street journal,1,hurricane,,tropical cyclone pam kill least people vanuatu wall street journal
flood relief benefit pay tonight open entry drink good cause rooftop t aco downtownboulder,0,not disaster,,flood relief benefit pay tonight open entry drink good cause rooftop t aco downtownboulder
homeguard whistleblower death former dgp vikram singh tell cnn ibn highly unlikely munesh s death,0,not disaster,,homeguard whistleblower death former dgp vikram singh tell cnn ibn highly unlikely munesh s death
nswrfs commissioner use today prepare use tonight check bush fire survival plan nswfires nswrfs t co ernrmxxd,1,wildfire,"['nswfires', 'nswrfs']",nswrfs commissioner use today prepare use tonight check bush fire survival plan nswfires nswrfs t co ernrmxxd
re happy hear friend isabelle farm suffer major flood damage local food make fb minwv io,1,flood,,re happy hear friend isabelle farm suffer major flood damage local food make fb minwv io
hour differnce oklahoma japan look im gon sleep day night haha,0,not disaster,,hour differnce oklahoma japan look im gon sleep day night haha
democratic senator use okla tornado anti gop rant global warm t co brecapgm t,1,tornado,,democratic senator use okla tornado anti gop rant global warm t co brecapgm t
eahquake hit philippines magnitude eahquake strike southeastern philippine tuesday t co ctlneg g,1,earthquake,,eahquake hit philippines magnitude eahquake strike southeastern philippine tuesday t co ctlneg g
millennials question work somewhat overblown intellectualized assessment young worker question corporate repeat,0,not disaster,,millennials question work somewhat overblown intellectualized assessment young worker question corporate repeat
hurricane maria now move nne,1,hurricane,,hurricane maria now move nne
sonjae th place damn well go flood neighbor house anger maybe ill eat food heh,1,flood,,sonjae th place damn well go flood neighbor house anger maybe ill eat food heh
lovell win big big house colorado spring co brad lovell set pro light class fire thi t co q lzlm b,0,not disaster,,lovell win big big house colorado spring co brad lovell set pro light class fire thi t co q lzlm b
nielsen say average viewer watch number hour tv month number period number,0,not disaster,,nielsen say average viewer watch number hour tv month number period number
fabutan dalhousie want help raise fund canadian red cross albea flood fund please donate repeat,1,flood,,fabutan dalhousie want help raise fund canadian red cross albea flood fund please donate repeat
know m slow someone tl go tornado shelter yesterday make hope ur ok,0,not disaster,,know m slow someone tl go tornado shelter yesterday make hope ur ok
user re right remember ask now husband sholy meet alcoholic guzzle coffee amp,0,not disaster,,user re right remember ask now husband sholy meet alcoholic guzzle coffee amp
ce number sony ericsson anzu become xperia arc look sony ericsson number anzu break c repeat,0,not disaster,,ce number sony ericsson anzu become xperia arc look sony ericsson number anzu break c repeat
new blog post spruce pool quick note follow disruption fire boulder repeat,1,wildfire,,new blog post spruce pool quick note follow disruption fire boulder repeat
australia flood affect thousand kill jan number user number pm,1,flood,,australia flood affect thousand kill jan number user number pm
ericfrancis find mud bowness nice chuckle break day yycflood t co kletvg ztc,1,flood,['yycflood'],ericfrancis find mud bowness nice chuckle break day yycflood t co kletvg ztc
se suspende el festival del rbol gallo y destinar fondos q millones los damnificados por el sismo guatemala,1,earthquake,['guatemala'],se suspende el festival del rbol gallo y destinar fondos q millones los damnificados por el sismo guatemala
yet lol buddylove,0,not disaster,,yet lol buddylove
makatitraffic flood walterma makati passable light car,1,flood,,makatitraffic flood walterma makati passable light car
sagittarius hate feel re trap anything anyone,0,not disaster,,sagittarius hate feel re trap anything anyone
ji fraser haha totally kid enjoy sunday night play tune,0,not disaster,,ji fraser haha totally kid enjoy sunday night play tune
wynnumherald find late local flood information se queensland brace strong wind flood quest new t,1,flood,,wynnumherald find late local flood information se queensland brace strong wind flood quest new t
mkr look alright miss kiwi,0,not disaster,['mkr'],mkr look alright miss kiwi
hate answer question watch movie,0,not disaster,,hate answer question watch movie
mycschurch think s hard look ahead deal immediate chaos sotm yycflood mycschurch,1,flood,"['sotm', 'yycflood', 'mycschurch']",mycschurch think s hard look ahead deal immediate chaos sotm yycflood mycschurch
rit number friday get rich kid lady free night crucialent,0,not disaster,,rit number friday get rich kid lady free night crucialent
watch mighty number supeanker take california s wildfire digital maketing,1,wildfire,,watch mighty number supeanker take california s wildfire digital maketing
user couldn t help notice re hide fake name s real conviction ethic,0,not disaster,,user couldn t help notice re hide fake name s real conviction ethic
user save daughter hold hair repeat amaze story scary story,1,tornado,,user save daughter hold hair repeat amaze story scary story
user old drop go live life girl,0,not disaster,,user old drop go live life girl
t wait hellorhighwater t shi user suppo yycflood arrive,1,flood,,t wait hellorhighwater t shi user suppo yycflood arrive
queensland record first flood death statewide catastrophe declare sydney morning herald t co ewlpupg townsville news,1,flood,"['townsville', 'news']",queensland record first flood death statewide catastrophe declare sydney morning herald t co ewlpupg townsville news
city advise east village resident return residence power clear re entry yycflood abflood,1,flood,"['yycflood', 'abflood']",city advise east village resident return residence power clear re entry yycflood abflood
please donate txting number moore ok t co t hprxaw,1,tornado,,please donate txting number moore ok t co t hprxaw
dog see walk sinton texas bad food hurricane now new fb g gc hl,1,hurricane,,dog see walk sinton texas bad food hurricane now new fb g gc hl
sebhenbest australia always experience bushfires climate change increase probability extreme fire day gt,1,wildfire,['climate'],sebhenbest australia always experience bushfires climate change increase probability extreme fire day gt
wow box stink box,0,not disaster,,wow box stink box
democrat solidify position number midterm late user news wapo poll maintain number point,0,not disaster,,democrat solidify position number midterm late user news wapo poll maintain number point
small kid hse joy,0,not disaster,,small kid hse joy
user congratulation number new member cont,0,not disaster,,user congratulation number new member cont
official abbottabadfalseflag single word osama s raid lie seymour herch obl pakistan,1,earthquake,,official abbottabadfalseflag single word osama s raid lie seymour herch obl pakistan
vanonselenp pm say exactly right time resignation qld flood follow minister emergency management,1,flood,,vanonselenp pm say exactly right time resignation qld flood follow minister emergency management
pam fail a school boom roast,1,hurricane,,pam fail a school boom roast
store fl run food water people say prep church teach food storage hurricane,0,not disaster,['hurricane'],store fl run food water people say prep church teach food storage hurricane
least people die car overcome california wildfire dlvr qr xvy pic twitter ymoirfqkvi,1,wildfire,,least people die car overcome california wildfire dlvr qr xvy pic twitter ymoirfqkvi
gm tesla unlock connect car feature help hurricane dorian arstechnica post type post p,1,hurricane,,gm tesla unlock connect car feature help hurricane dorian arstechnica post type post p
american bible challenge tomorrow night oralrobesu hammer center table set tornado relief bring relief item moore,1,tornado,['moore'],american bible challenge tomorrow night oralrobesu hammer center table set tornado relief bring relief item moore
user jan number h repeat freshent youtube watch v gwnjlezvlei rock shop number s king street doo repeat,0,not disaster,,user jan number h repeat freshent youtube watch v gwnjlezvlei rock shop number s king street doo repeat
use think original sin mean bear mustache weird right,0,not disaster,,use think original sin mean bear mustache weird right
user amaze ceainly add list let client know way go user yycflood,1,flood,,user amaze ceainly add list let client know way go user yycflood
sometimes love tragic,0,not disaster,,sometimes love tragic
hi sunshine request follow please dream love much x,0,not disaster,,hi sunshine request follow please dream love much x
np bobby bland member great,0,not disaster,,np bobby bland member great
downtown detroit squeeze force longtime tenant detroit cre realestate michigan dda,0,not disaster,,downtown detroit squeeze force longtime tenant detroit cre realestate michigan dda
kcdogadvocate ok tornado lose find pet listing t co fuktw ylbb,1,tornado,,kcdogadvocate ok tornado lose find pet listing t co fuktw ylbb
rhythm guitar lesson pop pattern number rhythmology youtube watch v cocvoruxmrw guitar,0,not disaster,,rhythm guitar lesson pop pattern number rhythmology youtube watch v cocvoruxmrw guitar
bbcnews manila s flood death toll rise t co kbtrixpo,1,flood,,bbcnews manila s flood death toll rise t co kbtrixpo
write meet richardmadden amp kitharington story journalvideo blog photo next day,0,not disaster,,write meet richardmadden amp kitharington story journalvideo blog photo next day
t co bnc twuxit,1,meteorite,,t co bnc twuxit
new dudley bluff estate knoll avenue evacuate fire imminent crew position nswfires,1,wildfire,,new dudley bluff estate knoll avenue evacuate fire imminent crew position nswfires
cnnbrk least known death oklahoma tornado child least people hospitalize t co hnb,1,tornado,['oklahoma'],cnnbrk least known death oklahoma tornado child least people hospitalize t co hnb
infobae se sinti el terremoto costa rica t co aoe br,1,earthquake,,infobae se sinti el terremoto costa rica t co aoe br
cityofcalgary map area downtown remain closed public check t co xhagcvffzn yycflood,1,flood,['yycflood'],cityofcalgary map area downtown remain closed public check t co xhagcvffzn yycflood
frankenstorm go bitch luck lmao,1,hurricane,['frankenstorm'],frankenstorm go bitch luck lmao
hiphop news indie apollo brown detonate ft m o p lt href t co wnowfvcbms t co jxwojxqndc,0,not disaster,,hiphop news indie apollo brown detonate ft m o p lt href t co wnowfvcbms t co jxwojxqndc
blockydogs please share link oklahoma pet owner reunite pet lose tornado t co bdhuffxjbc,1,tornado,['oklahoma'],blockydogs please share link oklahoma pet owner reunite pet lose tornado t co bdhuffxjbc
noh carolina area marine shelter pet hurricane matthew ow ly gkez bvj,1,hurricane,,noh carolina area marine shelter pet hurricane matthew ow ly gkez bvj
wow mamamoo s new song really good,0,not disaster,,wow mamamoo s new song really good
white waterproof smd x cm lead flexible strip light lead lamp v t co ihccdgifqs philippine filipino,0,not disaster,"['philippines', 'filipino']",white waterproof smd x cm lead flexible strip light lead lamp v t co ihccdgifqs philippine filipino
user glad miss flood saw sunny side last monday honour eah shelleylarose,1,flood,,user glad miss flood saw sunny side last monday honour eah shelleylarose
number t time sec history number team head hoover number reg season win uf number sc number amu number andy number iss st,0,not disaster,,number t time sec history number team head hoover number reg season win uf number sc number amu number andy number iss st
ruredaktor t co trj b qu,0,not disaster,,ruredaktor t co trj b qu
tornado watch interrupt user repeat grrrr repeat,1,tornado,,tornado watch interrupt user repeat grrrr repeat
magnitude number quake hit italy kill least number region still recover fatal tremor number repeat,1,earthquake,,magnitude number quake hit italy kill least number region still recover fatal tremor number repeat
collect donation order suppo haiti hurricane matthew call information hurricanematthew relief,1,hurricane,"['hurricanematthew', 'relief']",collect donation order suppo haiti hurricane matthew call information hurricanematthew relief
user check dental charity event sparkletogether,0,not disaster,,user check dental charity event sparkletogether
concern family friend use social medium spread word boulderflood unaccounted re repeat,1,flood,,concern family friend use social medium spread word boulderflood unaccounted re repeat
emergency hotlines please reliefph,1,flood,,emergency hotlines please reliefph
hurricane pacific outlook t co tropical,1,hurricane,"['hurricane', 'tropical']",hurricane pacific outlook t co tropical
hack alkazaaan deadly flood hit east australia t co pyavquu hacking onoyra,1,flood,,hack alkazaaan deadly flood hit east australia t co pyavquu hacking onoyra
frafacchinetti oggi c stato il terremoto moa della gente calcioscommesse e del calcio generale ne frag,1,earthquake,"['terremoto', 'calcioscommesse']",frafacchinetti oggi c stato il terremoto moa della gente calcioscommesse e del calcio generale ne frag
mary russianmeteor,1,meteorite,['russianmeteor'],mary russianmeteor
cop slam cuff father daughter irma,1,hurricane,,cop slam cuff father daughter irma
fzucchi need little weakness sndk repeat maybe closer ye buy ahead next eps repo,0,not disaster,,fzucchi need little weakness sndk repeat maybe closer ye buy ahead next eps repo
opposite love fear s t co bxzzhxkm,0,not disaster,,opposite love fear s t co bxzzhxkm
fry chicken mozzarella burger,0,not disaster,,fry chicken mozzarella burger
number youngk da number,0,not disaster,,number youngk da number
nobody benefit amp still haven t,0,not disaster,,nobody benefit amp still haven t
priorityreba blake shelton put together benefit conce oklahoma re pretty sure reba involve way,1,tornado,,priorityreba blake shelton put together benefit conce oklahoma re pretty sure reba involve way
